INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (0,'Travon Isai','Travon_Isai@gmail.com',12)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (1,'Yoshio Hill','Yoshio_Hill@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (2,'Tremaine Burrel','Tremaine_Burrel@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (3,'Rosalia Johanna','Rosalia_Johanna@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (4,'Pete Kendrick','Pete_Kendrick@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (5,'Erin Lish','Erin_Lish@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (6,'Lennon Alline','Lennon_Alline@gmail.com',19)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (7,'Gladyce Adrian','Gladyce_Adrian@gmail.com',16)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (8,'Sky Myrtice','Sky_Myrtice@gmail.com',11)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (9,'Max Boston','Max_Boston@gmail.com',15)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (10,'Chelsea Dorcas','Chelsea_Dorcas@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (11,'Javion Tom','Javion_Tom@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (12,'Chynna Elzie','Chynna_Elzie@gmail.com',42)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (13,'Alden Lincoln','Alden_Lincoln@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (14,'Leyla Noreen','Leyla_Noreen@gmail.com',27)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (15,'Stacey Gerhardt','Stacey_Gerhardt@gmail.com',25)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (16,'Everette Fleda','Everette_Fleda@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (17,'Pauletta Dessie','Pauletta_Dessie@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (18,'Jaida Ever','Jaida_Ever@gmail.com',4)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (19,'Lauryn Albertine','Lauryn_Albertine@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (20,'Jerrel Berlin','Jerrel_Berlin@gmail.com',35)
